#  ***** Integrate a Miriad image in elliptical annuli *****
#   Image = N6503mom0.mir
#   bunit: km s-1  frequency:   1.420406    K/Jy:          0.0000
#   Axes: RA---SIN  x DEC--SIN    Beam:   0.00 x   0.00 arcsecs
#   Bounding region is Blc=(2,3,1),Trc=(369,251,1)
#   Center:   163.0  124.0  Ellipse pa:  -60.  Incline:  74.  Not P.B. Corrected
# 
# Axis:    3    DEC--SIN   Plane:    1  no axis 3
# 
#    Radius(")    Pixels    Average        rms   Ann. Sum   Cum. Sum
      4.000      1.000      0.301      0.000      0.301      0.301
      8.000      2.000      0.311      0.053      0.622      0.922
     12.000      5.000      0.284      0.043      1.420      2.342
     16.000      7.000      0.310      0.069      2.170      4.513
     20.000      6.000      0.270      0.057      1.618      6.130
     24.000     11.000      0.299      0.078      3.288      9.418
     28.000      9.000      0.260      0.078      2.338     11.756
     32.000     15.000      0.311      0.057      4.666     16.422
     36.000     11.000      0.276      0.086      3.035     19.458
     40.000     17.000      0.318      0.066      5.402     24.859
     44.000     18.000      0.305      0.084      5.489     30.348
     48.000     18.000      0.307      0.068      5.526     35.875
     52.000     18.000      0.297      0.071      5.350     41.225
     56.000     18.000      0.283      0.067      5.100     46.325
     60.000     24.000      0.275      0.059      6.594     52.919
     64.000     18.000      0.280      0.085      5.042     57.961
     68.000     26.000      0.270      0.074      7.018     64.979
     72.000     21.000      0.288      0.108      6.051     71.030
     76.000     24.000      0.294      0.088      7.053     78.083
     80.000     29.000      0.272      0.097      7.895     85.978
     84.000     20.000      0.265      0.082      5.294     91.273
     88.000     30.000      0.267      0.087      7.999     99.272
     92.000     23.000      0.240      0.095      5.510    104.782
     96.000     34.000      0.244      0.077      8.306    113.088
    100.000     24.000      0.245      0.103      5.876    118.964
    104.000     35.000      0.226      0.098      7.906    126.870
    108.000     27.000      0.246      0.114      6.655    133.525
    112.000     28.000      0.222      0.122      6.214    139.739
    116.000     34.000      0.230      0.113      7.807    147.547
    120.000     34.000      0.231      0.125      7.837    155.384
    124.000     36.000      0.214      0.110      7.707    163.091
    128.000     36.000      0.228      0.130      8.216    171.307
    132.000     46.000      0.217      0.118     10.003    181.310
    136.000     37.000      0.213      0.130      7.891    189.201
    140.000     53.000      0.219      0.124     11.620    200.820
    144.000     43.000      0.221      0.120      9.486    210.306
    148.000     54.000      0.192      0.116     10.394    220.700
    152.000     52.000      0.205      0.116     10.636    231.336
    156.000     54.000      0.191      0.117     10.290    241.627
    160.000     50.000      0.213      0.113     10.625    252.252
    164.000     63.000      0.172      0.104     10.857    263.109
    168.000     62.000      0.191      0.107     11.836    274.945
    172.000     50.000      0.177      0.117      8.831    283.776
    176.000     71.000      0.181      0.104     12.821    296.597
    180.000     63.000      0.178      0.109     11.206    307.804
    184.000     72.000      0.192      0.114     13.807    321.610
    188.000     71.000      0.172      0.103     12.183    333.794
    192.000     74.000      0.206      0.121     15.245    349.039
    196.000     80.000      0.179      0.111     14.342    363.381
    200.000     80.000      0.192      0.118     15.326    378.708
    204.000     82.000      0.183      0.105     15.005    393.713
    208.000     71.000      0.182      0.103     12.932    406.645
    212.000     87.000      0.173      0.095     15.010    421.655
    216.000     74.000      0.174      0.094     12.903    434.558
    220.000     89.000      0.168      0.096     14.951    449.509
    224.000     78.000      0.165      0.085     12.899    462.407
    228.000     91.000      0.165      0.087     14.995    477.402
    232.000     89.000      0.160      0.085     14.251    491.653
    236.000     88.000      0.169      0.082     14.914    506.567
    240.000     95.000      0.167      0.084     15.870    522.437
    244.000     87.000      0.164      0.078     14.285    536.721
    248.000     99.000      0.160      0.081     15.844    552.565
    252.000     88.000      0.156      0.079     13.751    566.317
    256.000    105.000      0.144      0.077     15.165    581.482
    260.000     98.000      0.161      0.078     15.799    597.281
    264.000     98.000      0.145      0.069     14.254    611.535
    268.000    100.000      0.165      0.078     16.511    628.046
    272.000    103.000      0.149      0.072     15.315    643.360
    276.000    102.000      0.154      0.077     15.751    659.111
    280.000     96.000      0.154      0.075     14.786    673.897
    284.000    109.000      0.146      0.071     15.916    689.813
    288.000     99.000      0.154      0.070     15.271    705.085
    292.000    117.000      0.140      0.068     16.408    721.493
    296.000    101.000      0.142      0.066     14.299    735.792
    300.000    121.000      0.134      0.073     16.174    751.966
    304.000    115.000      0.136      0.074     15.677    767.643
    308.000    120.000      0.121      0.068     14.466    782.109
    312.000    122.000      0.133      0.076     16.239    798.348
    316.000    117.000      0.111      0.065     13.024    811.372
    320.000    132.000      0.129      0.073     16.973    828.345
    324.000    119.000      0.125      0.067     14.844    843.190
    328.000    134.000      0.124      0.064     16.644    859.833
    332.000    110.000      0.129      0.069     14.139    873.972
    336.000    141.000      0.127      0.072     17.896    891.868
    340.000    126.000      0.121      0.067     15.238    907.106
    344.000    135.000      0.128      0.072     17.238    924.345
    348.000    140.000      0.111      0.064     15.555    939.900
    352.000    131.000      0.126      0.072     16.499    956.399
    356.000    149.000      0.110      0.064     16.386    972.785
    360.000    134.000      0.124      0.068     16.625    989.409
    364.000    160.000      0.110      0.063     17.579   1006.989
    368.000    138.000      0.123      0.062     16.967   1023.956
    372.000    150.000      0.111      0.064     16.587   1040.542
    376.000    146.000      0.126      0.063     18.354   1058.896
    380.000    147.000      0.117      0.063     17.215   1076.111
    384.000    154.000      0.118      0.065     18.136   1094.247
    388.000    141.000      0.119      0.062     16.848   1111.095
    392.000    147.000      0.115      0.066     16.872   1127.967
    396.000    136.000      0.119      0.066     16.168   1144.135
    400.000    142.000      0.112      0.074     15.886   1160.021
    404.000    133.000      0.109      0.066     14.446   1174.467
    408.000    137.000      0.106      0.069     14.475   1188.942
    412.000    138.000      0.112      0.068     15.514   1204.456
    416.000    123.000      0.104      0.064     12.850   1217.307
    420.000    139.000      0.116      0.063     16.172   1233.479
    424.000    121.000      0.107      0.060     12.914   1246.393
    428.000    149.000      0.104      0.059     15.534   1261.927
    432.000    129.000      0.106      0.062     13.613   1275.540
    436.000    143.000      0.097      0.053     13.832   1289.372
    440.000    133.000      0.096      0.055     12.702   1302.075
    444.000    161.000      0.089      0.052     14.263   1316.337
    448.000    140.000      0.088      0.049     12.369   1328.706
    452.000    161.000      0.088      0.050     14.201   1342.907
    456.000    147.000      0.082      0.047     11.985   1354.892
    460.000    149.000      0.084      0.048     12.539   1367.432
    464.000    159.000      0.078      0.045     12.458   1379.890
    468.000    131.000      0.081      0.042     10.611   1390.501
    472.000    137.000      0.077      0.047     10.531   1401.032
    476.000    114.000      0.075      0.045      8.587   1409.619
    480.000    118.000      0.074      0.047      8.769   1418.388
    484.000    107.000      0.074      0.050      7.962   1426.350
    488.000     94.000      0.075      0.048      7.072   1433.423
    492.000     95.000      0.071      0.050      6.779   1440.202
    496.000     94.000      0.070      0.053      6.544   1446.745
    500.000     80.000      0.063      0.049      5.040   1451.786
    504.000     94.000      0.075      0.044      7.067   1458.853
    508.000     89.000      0.071      0.050      6.276   1465.128
    512.000     84.000      0.073      0.046      6.091   1471.219
    516.000     80.000      0.075      0.042      5.966   1477.185
    520.000     77.000      0.072      0.041      5.548   1482.733
    524.000     67.000      0.068      0.045      4.532   1487.265
    528.000     72.000      0.066      0.045      4.759   1492.024
    532.000     59.000      0.053      0.045      3.104   1495.127
    536.000     70.000      0.052      0.057      3.668   1498.796
    540.000     71.000      0.052      0.045      3.662   1502.457
    544.000     70.000      0.048      0.047      3.333   1505.791
    548.000     69.000      0.058      0.038      3.977   1509.768
    552.000     58.000      0.056      0.043      3.244   1513.012
    556.000     57.000      0.062      0.034      3.548   1516.561
    560.000     64.000      0.063      0.039      4.024   1520.584
    564.000     47.000      0.067      0.032      3.144   1523.729
    568.000     57.000      0.064      0.038      3.630   1527.359
    572.000     56.000      0.062      0.043      3.448   1530.807
    576.000     50.000      0.050      0.034      2.476   1533.283
    580.000     61.000      0.044      0.051      2.706   1535.988
    584.000     39.000      0.046      0.046      1.778   1537.767
    588.000     62.000      0.046      0.047      2.823   1540.590
    592.000     42.000      0.048      0.046      2.013   1542.602
    596.000     67.000      0.052      0.043      3.477   1546.079
    600.000     66.000      0.056      0.045      3.680   1549.760
    604.000     65.000      0.055      0.038      3.576   1553.335
    608.000     72.000      0.058      0.040      4.210   1557.545
    612.000     67.000      0.064      0.043      4.293   1561.838
    616.000     71.000      0.054      0.045      3.865   1565.703
    620.000     62.000      0.057      0.053      3.519   1569.222
    624.000     57.000      0.060      0.051      3.397   1572.620
    628.000     51.000      0.059      0.050      2.994   1575.614
    632.000     47.000      0.074      0.045      3.494   1579.107
    636.000     33.000      0.066      0.044      2.188   1581.295
    640.000     45.000      0.067      0.043      3.011   1584.307
    644.000     31.000      0.082      0.038      2.554   1586.860
    648.000     30.000      0.063      0.044      1.904   1588.764
    652.000     22.000      0.074      0.034      1.618   1590.382
    656.000     29.000      0.076      0.038      2.206   1592.587
    660.000     23.000      0.074      0.046      1.697   1594.284
    664.000     25.000      0.054      0.033      1.351   1595.635
    668.000     22.000      0.060      0.049      1.325   1596.961
    672.000     19.000      0.068      0.038      1.297   1598.257
    676.000     16.000      0.075      0.047      1.194   1599.452
    680.000     20.000      0.067      0.038      1.335   1600.786
    684.000      9.000      0.077      0.049      0.695   1601.481
    688.000     18.000      0.059      0.041      1.059   1602.540
    692.000     12.000      0.066      0.047      0.790   1603.330
    696.000      8.000      0.069      0.054      0.551   1603.882
    700.000     11.000      0.064      0.036      0.704   1604.586
    704.000      7.000      0.036      0.048      0.255   1604.841
    708.000      8.000      0.073      0.041      0.587   1605.428
    712.000      5.000      0.040      0.037      0.201   1605.630
    716.000      2.000      0.015      0.043      0.031   1605.660
    720.000      3.000      0.037      0.019      0.112   1605.772
    724.000      1.000      0.046      0.000      0.046   1605.818
    728.000      1.000      0.081      0.000      0.081   1605.900
    732.000      3.000      0.061      0.039      0.184   1606.084
    736.000      1.000      0.097      0.000      0.097   1606.181
    740.000      0.000      0.000      0.000      0.000   1606.181
    744.000      1.000      0.053      0.000      0.053   1606.234
    748.000      1.000      0.046      0.000      0.046   1606.280
    752.000      0.000      0.000      0.000      0.000   1606.280
    756.000      1.000      0.036      0.000      0.036   1606.316
    760.000      2.000      0.025      0.002      0.050   1606.366
    764.000      0.000      0.000      0.000      0.000   1606.366
    768.000      2.000     -0.003      0.001     -0.006   1606.360
    772.000      1.000      0.028      0.000      0.028   1606.388
    776.000      2.000      0.036      0.004      0.073   1606.460
    780.000      1.000      0.060      0.000      0.060   1606.521
    784.000      0.000      0.000      0.000      0.000   1606.521
    788.000      1.000      0.027      0.000      0.027   1606.548
    792.000      1.000      0.045      0.000      0.045   1606.592
    796.000      0.000      0.000      0.000      0.000   1606.592
    800.000      0.000      0.000      0.000      0.000   1606.592
    804.000      1.000      0.061      0.000      0.061   1606.653
    808.000      1.000      0.051      0.000      0.051   1606.704
    812.000      0.000      0.000      0.000      0.000   1606.704
    816.000      0.000      0.000      0.000      0.000   1606.704
    820.000      2.000     -0.007      0.027     -0.014   1606.690
    824.000      0.000      0.000      0.000      0.000   1606.690
    828.000      1.000     -0.003      0.000     -0.003   1606.687
    832.000      0.000      0.000      0.000      0.000   1606.687
    836.000      0.000      0.000      0.000      0.000   1606.687
    840.000      1.000     -0.002      0.000     -0.002   1606.685
    844.000      1.000      0.028      0.000      0.028   1606.713
    848.000      2.000      0.007      0.008      0.015   1606.728
    852.000      2.000     -0.002      0.018     -0.003   1606.724
    856.000      0.000      0.000      0.000      0.000   1606.724
    860.000      0.000      0.000      0.000      0.000   1606.724
    864.000      0.000      0.000      0.000      0.000   1606.724
    868.000      2.000      0.012      0.042      0.025   1606.749
    872.000      0.000      0.000      0.000      0.000   1606.749
    876.000      1.000      0.034      0.000      0.034   1606.783
    880.000      0.000      0.000      0.000      0.000   1606.783
    884.000      0.000      0.000      0.000      0.000   1606.783
    888.000      0.000      0.000      0.000      0.000   1606.783
    892.000      0.000      0.000      0.000      0.000   1606.783
    896.000      0.000      0.000      0.000      0.000   1606.783
    900.000      4.000      0.009      0.010      0.037   1606.820
    904.000      1.000     -0.007      0.000     -0.007   1606.813
    908.000      2.000      0.007      0.001      0.015   1606.827
    912.000      1.000     -0.025      0.000     -0.025   1606.802
    916.000      1.000      0.049      0.000      0.049   1606.851
    920.000      1.000     -0.011      0.000     -0.011   1606.840
    924.000      3.000      0.023      0.012      0.068   1606.909
    928.000      1.000      0.047      0.000      0.047   1606.956
    932.000      0.000      0.000      0.000      0.000   1606.956
    936.000      0.000      0.000      0.000      0.000   1606.956
    940.000      0.000      0.000      0.000      0.000   1606.956
    944.000      0.000      0.000      0.000      0.000   1606.956
    948.000      1.000      0.049      0.000      0.049   1607.004
    952.000      0.000      0.000      0.000      0.000   1607.004
    956.000      0.000      0.000      0.000      0.000   1607.004
    960.000      0.000      0.000      0.000      0.000   1607.004
    964.000      0.000      0.000      0.000      0.000   1607.004
    968.000      0.000      0.000      0.000      0.000   1607.004
    972.000      0.000      0.000      0.000      0.000   1607.004
    976.000      0.000      0.000      0.000      0.000   1607.004
    980.000      0.000      0.000      0.000      0.000   1607.004
    984.000      1.000      0.035      0.000      0.035   1607.040
    988.000      0.000      0.000      0.000      0.000   1607.040
    992.000      0.000      0.000      0.000      0.000   1607.040
    996.000      1.000      0.051      0.000      0.051   1607.090
   1000.000      0.000      0.000      0.000      0.000   1607.090
   1004.000      1.000      0.089      0.000      0.089   1607.179
   1008.000      1.000      0.014      0.000      0.014   1607.193
   1012.000      0.000      0.000      0.000      0.000   1607.193
   1016.000      0.000      0.000      0.000      0.000   1607.193
   1020.000      0.000      0.000      0.000      0.000   1607.193
   1024.000      1.000      0.010      0.000      0.010   1607.203
   1028.000      1.000      0.027      0.000      0.027   1607.230
   1032.000      1.000      0.006      0.000      0.006   1607.235
   1036.000      1.000     -0.012      0.000     -0.012   1607.224
   1040.000      0.000      0.000      0.000      0.000   1607.224
   1044.000      0.000      0.000      0.000      0.000   1607.224
   1048.000      1.000     -0.002      0.000     -0.002   1607.222
   1052.000      0.000      0.000      0.000      0.000   1607.222
   1056.000      0.000      0.000      0.000      0.000   1607.222
   1060.000      0.000      0.000      0.000      0.000   1607.222
   1064.000      1.000      0.054      0.000      0.054   1607.276
   1068.000      0.000      0.000      0.000      0.000   1607.276
   1072.000      0.000      0.000      0.000      0.000   1607.276
   1076.000      0.000      0.000      0.000      0.000   1607.276
   1080.000      0.000      0.000      0.000      0.000   1607.276
   1084.000      0.000      0.000      0.000      0.000   1607.276
   1088.000      0.000      0.000      0.000      0.000   1607.276
   1092.000      0.000      0.000      0.000      0.000   1607.276
   1096.000      0.000      0.000      0.000      0.000   1607.276
   1100.000      0.000      0.000      0.000      0.000   1607.276
   1104.000      0.000      0.000      0.000      0.000   1607.276
   1108.000      0.000      0.000      0.000      0.000   1607.276
   1112.000      1.000      0.007      0.000      0.007   1607.283
   1116.000      0.000      0.000      0.000      0.000   1607.283
   1120.000      1.000      0.032      0.000      0.032   1607.316
   1124.000      0.000      0.000      0.000      0.000   1607.316
   1128.000      2.000      0.016      0.002      0.031   1607.347
   1132.000      0.000      0.000      0.000      0.000   1607.347
   1136.000      1.000     -0.002      0.000     -0.002   1607.345
   1140.000      1.000      0.042      0.000      0.042   1607.387
   1144.000      2.000      0.071      0.015      0.141   1607.529
   1148.000      1.000      0.046      0.000      0.046   1607.575
   1152.000      0.000      0.000      0.000      0.000   1607.575
   1156.000      0.000      0.000      0.000      0.000   1607.575
   1160.000      1.000      0.133      0.000      0.133   1607.708
   1164.000      1.000      0.029      0.000      0.029   1607.737
   1168.000      2.000      0.099      0.027      0.198   1607.935
   1172.000      0.000      0.000      0.000      0.000   1607.935
   1176.000      1.000      0.055      0.000      0.055   1607.990
   1180.000      0.000      0.000      0.000      0.000   1607.990
   1184.000      1.000      0.099      0.000      0.099   1608.089
   1188.000      0.000      0.000      0.000      0.000   1608.089
   1192.000      1.000      0.012      0.000      0.012   1608.102
   1196.000      1.000      0.100      0.000      0.100   1608.201
   1200.000      1.000     -0.008      0.000     -0.008   1608.193
   1204.000      2.000      0.041      0.024      0.082   1608.276
   1208.000      0.000      0.000      0.000      0.000   1608.276
   1212.000      1.000      0.028      0.000      0.028   1608.304
   1216.000      0.000      0.000      0.000      0.000   1608.304
   1220.000      0.000      0.000      0.000      0.000   1608.304
   1224.000      0.000      0.000      0.000      0.000   1608.304
   1228.000      0.000      0.000      0.000      0.000   1608.304
   1232.000      0.000      0.000      0.000      0.000   1608.304
   1236.000      1.000      0.082      0.000      0.082   1608.386
   1240.000      0.000      0.000      0.000      0.000   1608.386
   1244.000      1.000      0.067      0.000      0.067   1608.453
   1248.000      1.000      0.071      0.000      0.071   1608.524
   1252.000      0.000      0.000      0.000      0.000   1608.524
   1256.000      0.000      0.000      0.000      0.000   1608.524
   1260.000      0.000      0.000      0.000      0.000   1608.524
   1264.000      0.000      0.000      0.000      0.000   1608.524
   1268.000      1.000      0.004      0.000      0.004   1608.529
   1272.000      0.000      0.000      0.000      0.000   1608.529
   1276.000      1.000      0.033      0.000      0.033   1608.561
   1280.000      0.000      0.000      0.000      0.000   1608.561
   1284.000      1.000     -0.012      0.000     -0.012   1608.549
   1288.000      0.000      0.000      0.000      0.000   1608.549
   1292.000      2.000     -0.017      0.015     -0.033   1608.516
   1296.000      0.000      0.000      0.000      0.000   1608.516
   1300.000      2.000      0.018      0.001      0.036   1608.552
   1304.000      0.000      0.000      0.000      0.000   1608.552
   1308.000      1.000      0.002      0.000      0.002   1608.554
   1312.000      1.000      0.011      0.000      0.011   1608.565
   1316.000      0.000      0.000      0.000      0.000   1608.565
   1320.000      0.000      0.000      0.000      0.000   1608.565
   1324.000      0.000      0.000      0.000      0.000   1608.565
   1328.000      0.000      0.000      0.000      0.000   1608.565
   1332.000      0.000      0.000      0.000      0.000   1608.565
   1336.000      0.000      0.000      0.000      0.000   1608.565
   1340.000      0.000      0.000      0.000      0.000   1608.565
   1344.000      0.000      0.000      0.000      0.000   1608.565
   1348.000      1.000      0.010      0.000      0.010   1608.575
   1352.000      0.000      0.000      0.000      0.000   1608.575
   1356.000      0.000      0.000      0.000      0.000   1608.575
   1360.000      0.000      0.000      0.000      0.000   1608.575
   1364.000      0.000      0.000      0.000      0.000   1608.575
   1368.000      0.000      0.000      0.000      0.000   1608.575
   1372.000      0.000      0.000      0.000      0.000   1608.575
   1376.000      0.000      0.000      0.000      0.000   1608.575
   1380.000      0.000      0.000      0.000      0.000   1608.575
   1384.000      0.000      0.000      0.000      0.000   1608.575
   1388.000      0.000      0.000      0.000      0.000   1608.575
   1392.000      2.000      0.024      0.013      0.049   1608.624
   1396.000      2.000      0.002      0.031      0.005   1608.629
   1400.000      0.000      0.000      0.000      0.000   1608.629
   1404.000      0.000      0.000      0.000      0.000   1608.629
   1408.000      1.000     -0.018      0.000     -0.018   1608.610
   1412.000      0.000      0.000      0.000      0.000   1608.610
