#  ***** Integrate a Miriad image in elliptical annuli *****
#   Image = NGC2347.co.de20_smo.mom0.mir
#   bunit: JY/BEAM.KM/S  frequency: 115.271202    K/Jy:          3.9664
#   Axes: RA---SIN  x DEC--SIN    Beam:   4.85 x   4.79 arcsecs
#   Bounding region is Blc=(29,19,1),Trc=(71,78,1)
#   Center:     0.0    0.0  Ellipse pa:    9.  Incline:  51.  Not P.B. Corrected
#   Effective beam area:     26.3234 pixels  (Used to normalize total flux)
# 
# Axis:    3    DEC--SIN   Plane:    1  no axis 3
# 
#    Radius(")    Pixels    Average        rms   Ann. Sum   Cum. Sum
      1.000      1.000      8.673      0.000      0.329      0.329
      2.000      8.000      8.287      0.418      2.518      2.848
      3.000      6.000      7.580      0.543      1.728      4.576
      4.000     16.000      7.006      0.798      4.258      8.834
      5.000     20.000      5.804      1.028      4.410     13.244
      6.000     18.000      5.525      1.294      3.778     17.021
      7.000     28.000      4.935      1.108      5.249     22.271
      8.000     28.000      4.525      0.961      4.813     27.083
      9.000     32.000      3.987      0.845      4.847     31.931
     10.000     40.000      3.413      0.784      5.186     37.117
     11.000     38.000      3.024      0.751      4.366     41.483
     12.000     48.000      2.528      0.739      4.609     46.092
     13.000     54.000      2.206      0.734      4.524     50.616
     14.000     46.000      1.958      0.761      3.421     54.037
     15.000     60.000      1.630      0.691      3.715     57.752
     16.000     64.000      1.427      0.600      3.469     61.221
     17.000     58.000      1.064      0.537      2.344     63.565
     18.000     74.000      0.969      0.592      2.724     66.289
     19.000     70.000      0.855      0.504      2.273     68.563
     20.000     76.000      0.722      0.473      2.086     70.648
     21.000     92.000      0.770      0.513      2.692     73.340
     22.000     80.000      0.675      0.503      2.051     75.392
     23.000     82.000      0.612      0.603      1.906     77.298
     24.000    100.000      0.603      0.513      2.292     79.590
     25.000     92.000      0.494      0.592      1.727     81.317
     26.000     94.000      0.398      0.561      1.421     82.738
     27.000     90.000      0.292      0.559      1.000     83.737
     28.000     78.000      0.245      0.467      0.725     84.462
     29.000     90.000      0.200      0.496      0.683     85.144
     30.000     69.000      0.143      0.484      0.375     85.519
     31.000     51.000      0.059      0.443      0.115     85.633
     32.000     43.000      0.216      0.334      0.354     85.987
     33.000     29.000      0.191      0.320      0.210     86.197
     34.000     12.000      0.176      0.300      0.080     86.277
     35.000      6.000      0.216      0.185      0.049     86.326
