#  ***** Integrate a Miriad image in elliptical annuli *****
#   Image = NGC5016.co.de20_dil.mom0.mir
#   bunit: JY/BEAM.KM/S  frequency: 115.271202    K/Jy:          4.2373
#   Axes: RA---SIN  x DEC--SIN    Beam:   5.33 x   4.08 arcsecs
#   Bounding region is Blc=(26,31,1),Trc=(74,70,1)
#   Center:     0.0    0.0  Ellipse pa:  240.  Incline:  45.  Not P.B. Corrected
#   Effective beam area:     24.6406 pixels  (Used to normalize total flux)
# 
# Axis:    3    DEC--SIN   Plane:    1  no axis 3
# 
#    Radius(")    Pixels    Average        rms   Ann. Sum   Cum. Sum
      1.000      1.000      4.440      0.000      0.180      0.180
      2.000      8.000      4.271      0.313      1.387      1.567
      3.000     12.000      3.684      0.263      1.794      3.361
      4.000     18.000      3.238      0.331      2.365      5.726
      5.000     12.000      2.985      0.368      1.454      7.180
      6.000     30.000      2.726      0.344      3.319     10.499
      7.000     28.000      2.494      0.515      2.834     13.333
      8.000     38.000      2.423      0.572      3.736     17.069
      9.000     38.000      2.279      0.670      3.514     20.583
     10.000     34.000      2.278      0.605      3.143     23.727
     11.000     54.000      2.177      0.587      4.772     28.498
     12.000     50.000      1.915      0.538      3.886     32.385
     13.000     58.000      1.764      0.503      4.151     36.536
     14.000     58.000      1.585      0.490      3.731     40.267
     15.000     58.000      1.548      0.557      3.643     43.910
     16.000     68.000      1.478      0.612      4.079     47.989
     17.000     76.000      1.272      0.619      3.923     51.912
     18.000     80.000      1.073      0.536      3.483     55.395
     19.000     77.000      0.866      0.459      2.707     58.103
     20.000     77.000      0.799      0.405      2.498     60.600
     21.000     84.000      0.658      0.430      2.242     62.842
     22.000     74.000      0.534      0.382      1.605     64.447
     23.000     60.000      0.445      0.437      1.082     65.529
     24.000     41.000      0.568      0.349      0.946     66.475
     25.000     30.000      0.591      0.322      0.720     67.195
     26.000     30.000      0.543      0.289      0.661     67.857
     27.000     19.000      0.540      0.443      0.417     68.273
     28.000     10.000      0.913      0.462      0.370     68.644
     29.000      6.000      1.132      0.287      0.276     68.919
     30.000      6.000      0.800      0.374      0.195     69.114
     31.000      8.000      0.658      0.243      0.214     69.328
     32.000      6.000      0.521      0.287      0.127     69.455
     33.000      5.000      0.617      0.188      0.125     69.580
     34.000      6.000      0.388      0.260      0.095     69.675
     35.000      3.000      0.223      0.102      0.027     69.702
     36.000      2.000     -0.022      0.033     -0.002     69.700
